loss,accuracy,val_loss,val_accuracy,architecture,epoch,version,params,labels,timestamp
0.06383854895830154,0.9786372780799866,0.2977280914783478,0.9253597259521484,EfficientNetV2L,35,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.048375897109508514,0.9851585626602173,0.27432724833488464,0.931654691696167,EfficientNetV2L,36,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.043382272124290466,0.9858331680297852,0.3228932321071625,0.9208633303642273,EfficientNetV2L,37,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.051865383982658386,0.9862828850746155,0.293806254863739,0.9253597259521484,EfficientNetV2L,38,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.05201992765069008,0.983584463596344,0.29404929280281067,0.9280575513839722,EfficientNetV2L,39,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.055775873363018036,0.9831346869468689,0.3099667429924011,0.9244604110717773,EfficientNetV2L,40,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.05455367639660835,0.9838092923164368,0.30131062865257263,0.9181654453277588,EfficientNetV2L,41,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.05943781137466431,0.9790870547294617,0.2667698562145233,0.9334532618522644,EfficientNetV2L,42,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.049577854573726654,0.983584463596344,0.3590053915977478,0.9208633303642273,EfficientNetV2L,43,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
0.04321998730301857,0.9867326021194458,0.29126274585723877,0.9262589812278748,EfficientNetV2L,44,1,"{""image_size"": [150, 150], ""augmentation"": {}, ""model"": {""pooling"": ""max"", ""dense"": 64, ""bn"": true, ""dropout"": 0.5}, ""training"": {""lr"": 0.001}}","[""cup"", ""fork"", ""glass"", ""knife"", ""plate"", ""spoon""]",2022-12-20 03:19:22.436338
